Subject,Accuracy,Motion Direction,Movement Type
4,0,Vertical,Cross
4,0,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,0,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,0,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,0,Horizontal,Cross
5,1,Horizontal,Cross
5,0,Horizontal,Cross
5,0,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,0,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,0,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,0,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Horizontal,Cross
5,1,Vertical,Cross
5,1,Horizontal,Cross
5,0,Horizontal,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
5,0,Vertical,Cross
5,1,Vertical,Cross
5,1,Vertical,Cross
6,1,Vertical,Cross
6,0,Horizontal,Cross
6,0,Horizontal,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,0,Horizontal,Cross
6,0,Vertical,Cross
6,0,Horizontal,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,0,Vertical,Cross
6,1,Vertical,Cross
6,0,Horizontal,Cross
6,0,Horizontal,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,0,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,0,Horizontal,Cross
6,0,Horizontal,Cross
6,0,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Vertical,Cross
6,1,Vertical,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,1,Horizontal,Cross
6,0,Horizontal,Cross
6,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,0,Vertical,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,0,Vertical,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Horizontal,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
7,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,0,Vertical,Cross
8,0,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,0,Horizontal,Cross
8,1,Vertical,Cross
8,0,Horizontal,Cross
8,0,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,0,Vertical,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,0,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,0,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,0,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,0,Horizontal,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,1,Vertical,Cross
8,1,Horizontal,Cross
8,0,Horizontal,Cross
8,1,Vertical,Cross
8,1,Vertical,Cross
8,0,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,0,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,0,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,0,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,0,Horizontal,Cross
9,0,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,0,Vertical,Cross
9,0,Horizontal,Cross
9,0,Vertical,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,0,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,0,Vertical,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,0,Horizontal,Cross
9,0,Horizontal,Cross
9,0,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,1,Horizontal,Cross
9,1,Vertical,Cross
9,1,Vertical,Cross
9,0,Horizontal,Cross
9,1,Vertical,Cross
9,0,Horizontal,Cross
10,1,Vertical,Cross
10,0,Vertical,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,0,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,0,Horizontal,Cross
10,0,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,0,Vertical,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,0,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,0,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,0,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,0,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,0,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,1,Horizontal,Cross
10,1,Horizontal,Cross
10,1,Vertical,Cross
10,1,Vertical,Cross
10,0,Horizontal,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,0,Horizontal,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Vertical,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,0,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Vertical,Cross
11,0,Vertical,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Horizontal,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,0,Horizontal,Cross
11,1,Vertical,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Horizontal,Cross
11,1,Vertical,Cross
11,1,Vertical,Cross
11,0,Horizontal,Cross
11,1,Vertical,Cross
11,0,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,0,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,0,Horizontal,Cross
12,0,Horizontal,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,0,Vertical,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,0,Horizontal,Cross
12,0,Horizontal,Cross
12,0,Vertical,Cross
12,1,Horizontal,Cross
12,0,Horizontal,Cross
12,1,Horizontal,Cross
12,0,Vertical,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,0,Vertical,Cross
12,0,Vertical,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,0,Vertical,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,0,Horizontal,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,0,Horizontal,Cross
12,0,Vertical,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,0,Horizontal,Cross
12,1,Vertical,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,0,Vertical,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Horizontal,Cross
12,1,Vertical,Cross
12,1,Horizontal,Cross
12,0,Vertical,Cross
12,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,0,Horizontal,Cross
13,0,Horizontal,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,0,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,0,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,0,Horizontal,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,0,Vertical,Cross
13,1,Vertical,Cross
13,1,Horizontal,Cross
13,1,Vertical,Cross
13,0,Horizontal,Cross
13,1,Horizontal,Cross
13,0,Horizontal,Cross
13,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
14,1,Vertical,Cross
14,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,0,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,0,Vertical,Cross
15,0,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,0,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,0,Horizontal,Cross
15,0,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,0,Vertical,Cross
15,1,Vertical,Cross
15,0,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,0,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,1,Vertical,Cross
15,0,Vertical,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
15,1,Vertical,Cross
15,1,Horizontal,Cross
16,1,Horizontal,Cross
16,0,Vertical,Cross
16,1,Vertical,Cross
16,0,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,0,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,0,Vertical,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,0,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,1,Vertical,Cross
16,0,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,0,Vertical,Cross
16,0,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,0,Horizontal,Cross
16,1,Vertical,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
16,1,Horizontal,Cross
